id,title,authors,year,venue,type,doi,url,research_areas,featured
2024-comparison-of-commercial-pedometer-appli,Comparison of Commercial Pedometer Applications: A Rigorous Approach,ext:Alessio Terzi|federico-montori|lorenzo-gigli|ext:Luca Bedogni|marco-di-felice|luciano-bononi,2024,International Conference on Smart Computing,conference,https://doi.org/10.1109/SMARTCOMP61445.2024.00067,https://ieeexplore.ieee.org/abstract/document/10595611/,context-awareness,0
2024-digital-shadow-sensor-framework-for-smar,Digital shadow sensor framework for smart agriculture: Time series prediction through data segmentation and clustering,luca-sciullo|angelo-trotta|ext:Sara Bosi|luciano-bononi|marco-di-felice,2024,Consumer Communications and Networking Conference,conference,https://doi.org/10.1109/CCNC51664.2024.10454662,https://ieeexplore.ieee.org/abstract/document/10454662/,context-awareness,0
2024-digital-smart-structure-engineering-a-se,Digital smart structure: engineering a sensor-to-cloud structural health monitoring pilot,ivan-zyrianoff|mattia-forlesi|lorenzo-gigli|ext:Soroosh Kamali|ext:Nicola Testoni|ext:Canio Mennuti|ext:Giuseppe Augugliaro|ext:Luca De Marchi|ext:Alessandro Marzani|luciano-bononi|marco-di-felice,2024,IEEE International Workshop on Measurement and Networking,conference,https://doi.org/10.1109/MN60932.2024.10615780,https://ieeexplore.ieee.org/abstract/document/10615780/,condition-monitoring,0
2024-digital-twin-based-on-iot-and-ontology-f,Digital Twin based on IoT and Ontology for remote physiotherapy,ext:Giulia Spaletta|marco-di-felice|alfonso-esposito|ext:Stefano Borgo|ext:Claudio Masolo|ext:Gianluca Fasano|ext:Valeria Seidita|ext:Fulvio Barbaro|ext:Roberto Toni,2024,,journal,,https://cris.unibo.it/handle/11585/1051791,iot-interoperability,0
2024-dynamic-execution-of-engineering-process,Dynamic execution of engineering processes in cyber-physical systems of systems toolchains,federico-montori|ext:Marek S Tatara|ext:Pál Varga,2024,IEEE Transactions on Automation Science and Engineering,journal,https://doi.org/10.1109/TASE.2024.3362132,https://ieeexplore.ieee.org/abstract/document/10433163/,iot-interoperability,0
2024-edge-human-activity-recognition-using-fe,Edge human activity recognition using federated learning on constrained devices,angelo-trotta|federico-montori|leonardo-ciabattini|ext:Giulio Billi|luciano-bononi|marco-di-felice,2024,Pervasive and Mobile Computing,journal,https://doi.org/10.1016/j.pmcj.2024.101972,https://www.sciencedirect.com/science/article/pii/S157411922400097X,context-awareness,0
2024-engaging-the-public-reviving-history-thr,ENGAGING THE PUBLIC: REVIVING HISTORY THROUGH THE SOCIAL SIMULACRA MODEL IN PARTICIPATORY PUBLIC HISTORY PROJECTS.,lorenzo-gigli|marco-montanari|ext:LUCIA MARSICANO,2024,Archeologia e Calcolatori,journal,,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=11206861&AN=184609357&h=MzrmaRNbpQOoVss6BYAKA%2Fo2Uet%2BuyP%2BRshmPBW1MtOSdessmnxprtIwbpjMTP96T%2B0d1MUY4MUmnXHMfmBxiw%3D%3D&crl=c,iot-interoperability,0
2024-inferring-the-urban-noise-pollution-with,Inferring the Urban Noise Pollution with Sparse Data through Crowdsensing,ext:Jacopo Rimediotti|federico-montori|luca-sciullo|luciano-bononi,2024,2024 IEEE International Conference on Pervasive Computing and Communications Workshops and other Affiliated Events (PerCom Workshops),conference,https://doi.org/10.1109/PerComWorkshops59983.2024.10502790,https://ieeexplore.ieee.org/abstract/document/10502790/,context-awareness,0
2024-integrating-ontological-modelling-iot-an,"Integrating ontological modelling, IoT and humanoid robotics for motor rehabilitation systems",ext:Stefano Borgo|marco-di-felice|ext:Gianluca Fasano|ext:Claudio Masolo|ext:Valeria Seidita|ext:Giulia Spaletta|ext:Fulvio Barbaro|ext:Enrico Quarantini|ext:Marco Quarantini|ext:Roberto Toni,2024,CEUR WORKSHOP PROCEEDINGS,conference,,https://cris.unibo.it/handle/11585/998638,iot-interoperability|autonomous-robotic-iot,0
2024-intelligent-computer-networks-and-distri,Intelligent Computer Networks and Distributed Systems,carlos-alberto-kamienski|ext:Eduardo Cerqueira|ext:Dave Cavalcanti|marco-di-felice|ext:Stênio Fernandes,2024,Ad hoc networks,journal,https://doi.org/10.1016/j.adhoc.2024.103595,https://dl.acm.org/doi/abs/10.1016/j.adhoc.2024.103595,autonomous-robotic-iot,0
2024-iotdeploy-deployment-of-iot-smart-applic,Iotdeploy: Deployment of iot smart applications over the computing continuum,ext:Francis Borges Oliveira|marco-di-felice|carlos-alberto-kamienski,2024,Internet of Things,journal,https://doi.org/10.1016/j.iot.2024.101348,https://www.sciencedirect.com/science/article/pii/S2542660524002890,iot-interoperability,0
2024-iotinuum-the-iot-computing-continuum,Iotinuum: The iot computing continuum,carlos-alberto-kamienski|ivan-zyrianoff|ext:Luiz Fernando Bittencourt|marco-di-felice,2024,2024 20th International Conference on Distributed Computing in Smart Systems and the Internet of Things (DCOSS-IoT),conference,https://doi.org/10.1109/DCOSS-IoT61029.2024.00112,https://ieeexplore.ieee.org/abstract/document/10621468/,autonomous-robotic-iot,0
2024-on-the-decentralization-of-mobile-crowds,On the decentralization of mobile crowdsensing in distributed ledgers: an architectural vision,lorenzo-gigli|federico-montori|ext:Mirko Zichichi|ext:Luca Bedogni|ext:Stefano Ferretti|marco-di-felice,2024,Consumer Communications and Networking Conference,conference,https://doi.org/10.1109/CCNC51664.2024.10454822,https://ieeexplore.ieee.org/abstract/document/10454822/,blockchain-iot,0
